Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Target_WP_idx,Dist_to_WP_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.10,43.706355,10.475589,0.00,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.20,43.706355,10.475589,0.08,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.33,43.706355,10.475589,0.25,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.40,43.706355,10.475589,0.60,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.50,43.706355,10.475589,0.83,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.60,43.706355,10.475589,1.24,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.70,43.706355,10.475589,1.71,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.82,43.706355,10.475589,2.86,8.00,40.00,1,8.11,-0.00,0.00,45.00,
0.90,43.706355,10.475589,2.86,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.00,43.706355,10.475589,3.51,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.10,43.706355,10.475589,4.23,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.20,43.706355,10.475589,5.00,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.30,43.706355,10.475589,5.82,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.40,43.706355,10.475589,6.69,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.50,43.706355,10.475589,7.61,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.60,43.706355,10.475589,8.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.70,43.706355,10.475589,9.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.80,43.706355,10.475589,10.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
1.90,43.706355,10.475589,11.62,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.00,43.706355,10.475589,12.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.10,43.706355,10.475589,13.59,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.20,43.706355,10.475589,14.59,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.32,43.706355,10.475589,15.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.40,43.706355,10.475589,16.71,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.50,43.706355,10.475589,17.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.60,43.706355,10.475589,18.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.70,43.706355,10.475589,19.59,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.80,43.706355,10.475589,20.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
2.90,43.706355,10.475589,21.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.00,43.706355,10.475589,22.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.10,43.706355,10.475589,23.59,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.20,43.706355,10.475589,24.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.30,43.706355,10.475589,25.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.40,43.706355,10.475589,26.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.50,43.706355,10.475589,27.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.60,43.706355,10.475589,28.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.70,43.706355,10.475589,29.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.80,43.706355,10.475589,30.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
3.91,43.706355,10.475589,31.60,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.00,43.706355,10.475589,32.60,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.10,43.706355,10.475589,33.66,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.20,43.706355,10.475589,34.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.30,43.706355,10.475589,35.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.40,43.706355,10.475589,36.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.50,43.706355,10.475589,37.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.60,43.706355,10.475589,38.59,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.70,43.706355,10.475589,39.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.80,43.706355,10.475589,40.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
4.90,43.706355,10.475589,41.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.00,43.706355,10.475589,42.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.10,43.706355,10.475589,43.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.20,43.706355,10.475589,44.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.30,43.706355,10.475589,45.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.40,43.706355,10.475589,46.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.50,43.706355,10.475589,47.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.60,43.706355,10.475589,48.58,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.70,43.706355,10.475589,49.57,8.00,40.00,1,8.11,-0.00,0.00,45.00,
5.80,43.706355,10.475589,50.58,8.00,40.00,1,8.11,-0.00,0.00,44.93,
5.90,43.706355,10.475589,51.58,8.00,40.00,1,8.11,-0.00,0.00,43.93,
6.00,43.706355,10.475589,52.57,8.00,40.00,1,8.11,-0.00,0.01,42.93,
6.10,43.706355,10.475589,53.57,8.00,40.00,1,8.11,-0.00,0.01,41.93,
6.20,43.706355,10.475589,54.58,8.00,40.00,1,8.11,-0.00,0.02,40.93,
6.30,43.706355,10.475589,55.59,8.00,40.00,1,8.11,-0.00,0.02,39.92,
6.40,43.706355,10.475589,56.58,8.00,40.00,1,8.11,-0.00,0.03,38.94,
6.50,43.706355,10.475589,57.57,8.00,40.00,1,8.11,-0.00,0.03,37.94,
6.60,43.706355,10.475589,58.57,8.00,40.00,1,8.11,-0.00,0.04,36.94,
6.71,43.706355,10.475589,59.57,8.00,40.00,1,8.11,-0.00,0.04,35.95,
6.80,43.706355,10.475589,60.63,8.00,40.00,1,8.10,-0.00,0.04,34.90,
6.90,43.706355,10.475589,61.57,8.00,40.00,1,8.10,-0.00,0.05,33.96,
7.00,43.706355,10.475589,62.58,8.00,40.00,1,8.10,-0.00,0.05,32.96,
7.10,43.706355,10.475589,63.57,8.00,40.00,1,8.10,-0.00,0.06,31.97,
7.20,43.706355,10.475589,64.57,8.00,40.00,1,8.10,-0.00,0.06,30.98,
7.30,43.706355,10.475589,65.61,8.00,40.01,1,8.10,-0.00,0.07,29.95,
7.40,43.706355,10.475589,66.57,8.00,40.01,1,8.10,-0.00,0.07,28.99,
7.50,43.706355,10.475589,67.57,8.00,40.01,1,8.10,-0.00,0.08,28.01,
7.60,43.706355,10.475589,68.58,8.00,40.01,1,8.10,-0.01,0.08,27.02,
7.70,43.706355,10.475589,69.57,8.00,40.01,1,8.10,-0.01,0.08,26.03,
7.80,43.706355,10.475589,70.57,8.01,40.01,1,8.09,-0.01,0.09,25.04,
7.90,43.706355,10.475589,71.59,8.01,40.01,1,8.09,-0.01,0.09,24.04,
8.00,43.706355,10.475589,72.57,8.01,40.02,1,8.09,-0.01,0.10,23.07,
8.10,43.706355,10.475589,73.57,8.01,40.02,1,8.09,-0.01,0.10,22.09,
8.20,43.706355,10.475589,74.56,8.01,40.02,1,8.09,-0.01,0.11,21.12,
8.30,43.706355,10.475589,75.54,8.01,40.02,1,8.08,-0.01,0.11,20.15,
8.40,43.706355,10.475589,76.51,8.01,40.03,1,8.08,-0.01,0.11,19.19,
8.50,43.706355,10.475589,77.47,8.01,40.03,1,8.08,-0.01,0.12,18.25,
8.60,43.706355,10.475589,78.42,8.01,40.03,1,8.07,-0.01,0.12,17.31,
8.70,43.706355,10.475590,79.36,8.01,40.04,1,8.07,-0.01,0.13,16.39,
8.81,43.706355,10.475590,80.29,8.01,40.04,1,8.07,-0.02,0.13,15.48,
8.91,43.706355,10.475590,81.23,8.01,40.04,1,8.06,-0.02,0.14,14.56,
9.00,43.706355,10.475590,82.15,8.01,40.05,1,8.06,-0.02,0.14,13.65,
9.10,43.706355,10.475590,82.96,8.01,40.05,1,8.05,-0.02,0.14,12.86,
9.20,43.706355,10.475590,83.82,8.01,40.06,1,8.05,-0.02,0.15,12.02,
9.30,43.706355,10.475590,84.66,8.01,40.06,1,8.05,-0.02,0.15,11.19,
9.40,43.706355,10.475590,85.48,8.02,40.07,1,8.04,-0.02,0.15,10.39,
9.50,43.706355,10.475590,86.28,8.02,40.07,1,8.03,-0.02,0.16,9.60,
9.60,43.706355,10.475590,87.05,8.02,40.08,1,8.03,-0.02,0.16,8.84,
9.70,43.706355,10.475590,87.81,8.02,40.09,1,8.02,-0.02,0.16,8.10,
9.80,43.706355,10.475590,88.55,8.02,40.09,1,8.02,-0.03,0.17,7.37,
9.90,43.706355,10.475590,89.26,8.02,40.10,1,8.01,-0.03,0.17,6.67,
10.00,43.706355,10.475590,89.95,8.02,40.11,1,8.00,-0.03,0.17,5.99,
10.10,43.706355,10.475590,90.62,8.02,40.11,1,8.00,-0.03,0.18,5.34,
10.20,43.706355,10.475591,91.26,8.02,40.12,1,7.99,-0.03,0.18,4.70,
10.30,43.706355,10.475591,91.89,8.02,40.13,1,7.98,-0.03,0.18,4.09,
10.40,43.706355,10.475591,92.48,8.02,40.14,1,7.97,-0.03,0.18,3.49,
10.50,43.706355,10.475591,93.06,8.02,40.14,1,7.96,-0.03,0.19,2.92,
10.60,43.706355,10.475591,93.61,8.01,40.15,1,7.96,-0.03,0.19,2.37,
