Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.00  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 0 (Inizio Originale). | Inserito WP Rientro
0.10  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.20  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.30  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.40  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.50  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.60  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.70  ,43.706613  ,10.475533  ,-73.30  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.80  ,43.706613  ,10.475533  ,-73.32  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
0.90  ,43.706613  ,10.475533  ,-73.39  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.00  ,43.706613  ,10.475533  ,-73.52  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.10  ,43.706613  ,10.475533  ,-73.73  ,36.65  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.20  ,43.706613  ,10.475533  ,-74.03  ,36.66  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.30  ,43.706613  ,10.475533  ,-74.41  ,36.66  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.40  ,43.706613  ,10.475533  ,-74.86  ,36.66  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.50  ,43.706613  ,10.475533  ,-75.40  ,36.66  ,35.50  ,1,1.14  ,-0.00  ,0.00  ,-45.00  ,
1.60  ,43.706613  ,10.475533  ,-76.00  ,36.66  ,35.50  ,1,1.14  ,-0.01  ,0.00  ,-45.00  ,
1.70  ,43.706613  ,10.475533  ,-76.67  ,36.66  ,35.50  ,1,1.14  ,-0.01  ,0.00  ,-45.00  ,
1.80  ,43.706613  ,10.475533  ,-77.39  ,36.66  ,35.50  ,1,1.14  ,-0.01  ,0.00  ,-45.00  ,
1.90  ,43.706613  ,10.475533  ,-78.16  ,36.66  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.00  ,43.706613  ,10.475533  ,-78.96  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.10  ,43.706613  ,10.475533  ,-79.80  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.20  ,43.706613  ,10.475533  ,-80.67  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.30  ,43.706613  ,10.475533  ,-81.56  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.40  ,43.706613  ,10.475533  ,-82.47  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.50  ,43.706613  ,10.475533  ,-83.40  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.60  ,43.706613  ,10.475533  ,-84.33  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.70  ,43.706613  ,10.475533  ,-85.27  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.80  ,43.706613  ,10.475533  ,-86.22  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
2.90  ,43.706613  ,10.475533  ,-87.17  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.00  ,43.706613  ,10.475533  ,-88.13  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.10  ,43.706613  ,10.475533  ,-89.09  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.20  ,43.706613  ,10.475533  ,-90.05  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.30  ,43.706613  ,10.475533  ,-91.01  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.40  ,43.706613  ,10.475533  ,-91.97  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.50  ,43.706613  ,10.475533  ,-92.93  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.60  ,43.706613  ,10.475533  ,-93.89  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.70  ,43.706613  ,10.475533  ,-94.85  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.80  ,43.706613  ,10.475533  ,-95.81  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
3.90  ,43.706613  ,10.475533  ,-96.77  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
4.00  ,43.706613  ,10.475533  ,-97.73  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
4.10  ,43.706613  ,10.475533  ,-98.69  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
4.20  ,43.706613  ,10.475533  ,-99.65  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
4.30  ,43.706613  ,10.475533  ,-100.62  ,36.67  ,35.50  ,1,1.15  ,-0.01  ,0.00  ,-45.00  ,
