Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.10,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.20,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.30,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.40,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.50,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.60,43.706653,10.475474,-0.00,41.15,30.75,1.09,0.00,0.00,-45.00,
0.70,43.706653,10.475474,-0.03,41.15,30.75,1.09,0.00,0.00,-45.00,
0.80,43.706653,10.475474,-0.09,41.15,30.75,1.09,0.00,0.00,-45.00,
0.90,43.706653,10.475474,-0.23,41.15,30.75,1.09,0.00,0.00,-45.00,
1.00,43.706653,10.475474,-0.44,41.15,30.75,1.09,0.00,0.00,-45.00,
1.10,43.706653,10.475474,-0.74,41.15,30.76,1.09,0.00,0.00,-45.00,
1.20,43.706653,10.475474,-1.13,41.15,30.76,1.09,0.00,0.00,-45.00,
1.30,43.706653,10.475474,-1.59,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.40,43.706653,10.475474,-2.14,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.50,43.706653,10.475474,-2.75,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.60,43.706653,10.475474,-3.43,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.70,43.706653,10.475474,-4.16,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.80,43.706653,10.475474,-4.93,41.15,30.76,1.10,-0.00,0.00,-45.00,
1.90,43.706653,10.475474,-5.75,41.15,30.76,1.10,-0.00,0.00,-45.00,
2.00,43.706653,10.475475,-6.60,41.15,30.77,1.10,-0.00,0.00,-45.00,
2.10,43.706653,10.475475,-7.48,41.15,30.77,1.10,-0.00,0.00,-45.00,
2.20,43.706653,10.475475,-8.37,41.15,30.77,1.10,-0.00,0.00,-45.00,
2.30,43.706653,10.475475,-9.29,41.15,30.77,1.10,-0.00,0.00,-45.00,
2.40,43.706653,10.475475,-10.21,41.15,30.77,1.10,-0.00,0.00,-45.00,
2.50,43.706653,10.475475,-11.15,41.15,30.77,1.11,-0.00,0.00,-45.00,
2.60,43.706653,10.475475,-12.10,41.15,30.77,1.11,-0.01,0.00,-45.00,
2.70,43.706653,10.475475,-13.06,41.15,30.77,1.11,-0.01,0.00,-45.00,
2.80,43.706653,10.475475,-14.02,41.15,30.77,1.11,-0.01,0.00,-45.00,
2.90,43.706653,10.475475,-14.98,41.15,30.77,1.11,-0.01,0.00,-45.00,
3.00,43.706653,10.475475,-15.95,41.15,30.77,1.11,-0.01,0.00,-45.00,
3.10,43.706653,10.475475,-16.91,41.15,30.77,1.11,-0.01,0.00,-45.00,
3.20,43.706653,10.475475,-17.88,41.15,30.77,1.11,-0.01,0.00,-45.00,
